Date,Closing Price
1-Sep-00,30.86
1-Nov-00,33.8
1-Dec-00,26.8
1-Jan-01,28.7
1-Feb-01,27.42
1-Mar-01,26.4
1-May-01,28.37
1-Jun-01,26.25
1-Aug-01,27.2
1-Sep-01,23.43
1-Oct-01,21.18
1-Nov-01,19.44
1-Dec-01,19.84
1-Jan-02,19.48
1-Feb-02,21.85
1-Mar-02,26.23
1-Apr-02,27.29
1-May-02,25.35
1-Jun-02,26.86
1-Jul-02,27.02
1-Aug-02,28.98
1-Oct-02,27.22
1-Nov-02,26.89
1-Jan-03,33.51
1-Feb-03,36.6
1-Mar-03,31.04
1-Apr-03,25.8
1-May-03,29.56
1-Jul-03,30.54
1-Aug-03,31.57
1-Sep-03,29.2
1-Oct-03,29.11
1-Nov-03,30.41
1-Dec-03,32.52
1-Jan-04,33.05
1-Mar-04,35.76
1-Apr-04,37.38
1-May-04,39.88
1-Jun-04,37.05
1-Jul-04,43.8
1-Sep-04,49.64
1-Oct-04,51.76
1-Nov-04,49.13
1-Dec-04,43.45
1-Jan-05,48.2
1-Feb-05,51.75
1-Mar-05,55.4
1-Apr-05,49.72
1-Jun-05,56.5
1-Jul-05,60.57
1-Aug-05,68.94
1-Sep-05,66.24
1-Oct-05,59.76
1-Nov-05,57.32
1-Dec-05,61.04
1-Feb-06,61.41
1-Mar-06,66.63
1-Apr-06,71.88
1-May-06,71.29
1-Jun-06,73.98
1-Jul-06,74.4
1-Aug-06,70.26
1-Sep-06,62.91
1-Nov-06,63.13
1-Dec-06,61.05
1-Jan-07,58.14
1-Feb-07,61.79
1-Mar-07,65.87
1-May-07,64.01
1-Jun-07,70.68
1-Aug-07,74.04
1-Sep-07,81.66
1-Oct-07,94.53
1-Nov-07,88.71
1-Dec-07,95.98
1-Jan-08,91.75
1-Feb-08,101.84
1-Mar-08,101.58
1-Apr-08,113.46
1-May-08,127.35
1-Jul-08,124.08
1-Aug-08,115.46
1-Sep-08,100.64
1-Oct-08,67.81
1-Nov-08,54.43
1-Dec-08,44.6
1-Jan-09,41.68
1-Apr-09,51.12
1-May-09,66.31
1-Jun-09,69.89
1-Jul-09,69.45
1-Aug-09,69.96
1-Sep-09,70.61
1-Oct-09,77
1-Dec-09,79.36
1-Jan-10,72.89
1-Feb-10,79.66
1-Mar-10,83.76
1-Apr-10,86.15
1-May-10,73.97
1-Jun-10,75.63
1-Jul-10,78.95
1-Sep-10,79.97
1-Oct-10,81.43
1-Nov-10,84.11
1-Dec-10,91.38
1-Jan-11,92.19
1-Feb-11,96.97
1-Mar-11,106.72
1-Apr-11,113.93
1-Jun-11,95.42
1-Jul-11,95.7
1-Aug-11,88.81
1-Sep-11,79.2
1-Oct-11,93.19
1-Nov-11,100.36
1-Dec-11,98.83
1-Feb-12,107.07
1-Mar-12,103.02
1-May-12,86.53
1-Jun-12,84.96
1-Aug-12,96.47
1-Sep-12,92.19
1-Oct-12,86.24
1-Nov-12,88.91
1-Dec-12,91.82
1-Jan-13,97.49
1-Feb-13,92.05
1-Mar-13,97.23
1-Apr-13,93.46
1-May-13,91.97
1-Jun-13,96.56
1-Jul-13,105.03
1-Aug-13,107.65
1-Oct-13,96.38
1-Nov-13,92.72
1-Jan-14,97.49
1-Feb-14,102.59
1-Mar-14,101.58
1-Apr-14,99.74
1-May-14,102.71
1-Jul-14,98.17
1-Aug-14,95.96
1-Sep-14,91.16
1-Oct-14,80.54
1-Nov-14,66.15
1-Dec-14,53.27
1-Jan-15,48.24
1-Apr-15,59.63
1-May-15,60.3
1-Jun-15,59.47
1-Jul-15,47.12
1-Aug-15,49.2
1-Sep-15,45.09
1-Oct-15,46.59
1-Dec-15,37.04
1-Jan-16,33.62
1-Feb-16,33.75
1-Mar-16,38.34
1-Apr-16,45.92
1-Jun-16,48.33
1-Jul-16,41.6
1-Aug-16,44.7
1-Sep-16,48.24
1-Oct-16,46.86
1-Nov-16,49.44
1-Dec-16,53.72
1-Feb-17,54.01
1-Mar-17,50.6
1-Apr-17,49.33
1-May-17,48.32
1-Jun-17,46.04
1-Jul-17,50.17
1-Aug-17,47.23
1-Sep-17,51.67
1-Nov-17,57.4
1-Dec-17,60.42
1-Jan-18,64.73
1-Feb-18,61.64
1-Mar-18,64.94
1-May-18,67.04
1-Jun-18,74.15
1-Aug-18,69.8
1-Sep-18,73.25
1-Oct-18,65.31
1-Nov-18,50.93
1-Dec-18,45.41
1-Jan-19,53.79
1-Feb-19,57.22
1-Mar-19,60.14
1-Apr-19,63.91
1-May-19,53.5
1-Jun-19,58.47
1-Jul-19,58.58
1-Aug-19,55.1
1-Oct-19,54.18
1-Nov-19,55.17
1-Jan-20,51.56
1-Feb-20,44.76
1-Apr-20,18.84
1-May-20,35.49
1-Jun-20,39.27
1-Jul-20,40.27
1-Aug-20,42.61
1-Sep-20,40.22
1-Oct-20,35.79
1-Dec-20,48.52
1-Jan-21,52.2
1-Feb-21,61.5
1-Mar-21,59.16
1-Apr-21,63.58
1-May-21,66.32
1-Jun-21,73.47
1-Jul-21,73.95
1-Sep-21,75.03
1-Oct-21,78.93
