date,new_cases,new_deaths
2/3/2021,1508,31
2/4/2021,1302,53
2/5/2021,1286,28
2/6/2021,1346,53
2/7/2021,1037,59
2/8/2021,1008,40
2/9/2021,1072,62
2/10/2021,1502,57
2/11/2021,1270,33
2/12/2021,1262,58
2/13/2021,1404,31
2/14/2021,1048,26
2/15/2021,0,0
2/16/2021,1912,103
2/17/2021,1272,52
2/18/2021,1245,39
2/19/2021,1340,36
2/20/2021,1328,38
2/21/2021,1160,16
2/22/2021,1050,41
2/23/2021,1196,50
2/24/2021,1361,64
2/25/2021,1541,32
2/26/2021,1315,33
2/27/2021,1176,23
2/28/2021,1392,36
3/1/2021,1163,42
3/2/2021,1388,75
3/3/2021,1519,63
3/4/2021,1579,52
3/5/2021,1714,38
3/6/2021,1780,39
3/7/2021,1592,22
3/8/2021,1353,54
3/9/2021,1786,43
3/10/2021,2258,53
3/11/2021,2701,53
3/12/2021,2338,46
3/13/2021,2664,32
3/14/2021,2253,29
3/15/2021,2511,58
3/16/2021,2351,61
3/17/2021,3495,61
3/18/2021,3449,40
3/19/2021,3876,42
3/20/2021,3667,44
3/21/2021,3669,20
3/22/2021,3270,72
3/23/2021,3301,30
3/24/2021,3946,63
3/25/2021,4368,63
3/26/2021,4468,67
3/27/2021,4767,57
3/28/2021,4525,41
3/29/2021,4084,100
3/30/2021,4757,78
3/31/2021,4974,96
4/1/2021,5234,83
4/2/2021,4723,84
4/3/2021,5020,81
4/4/2021,4323,43
4/5/2021,3953,103
4/6/2021,4004,102
4/7/2021,5329,98
4/8/2021,5312,105
4/9/2021,5139,100
4/10/2021,5050,114
4/11/2021,4584,58
4/12/2021,4318,118
4/13/2021,4503,135
4/14/2021,5395,118
4/15/2021,5364,110
4/16/2021,4976,112
4/17/2021,6127,149
4/18/2021,5152,73
4/19/2021,5445,137
4/20/2021,5499,147
4/21/2021,5857,98
4/22/2021,5870,144
4/23/2021,5908,157
4/24/2021,5611,118
4/25/2021,4825,70
4/26/2021,4487,142
4/27/2021,5292,201
4/28/2021,5480,150
4/29/2021,5112,131
4/30/2021,4696,146
5/1/2021,4414,113
5/2/2021,4213,79
5/3/2021,3377,161
5/4/2021,0,0
5/5/2021,4113,119
5/6/2021,8495,248
5/7/2021,4109,120
5/8/2021,3786,118
5/9/2021,3447,78
5/10/2021,3084,113
5/11/2021,2881,104
5/12/2021,3265,126
5/13/2021,2517,48
5/14/2021,1531,83
5/15/2021,2379,76
5/16/2021,3232,74
5/17/2021,2566,135
5/18/2021,3256,104
5/19/2021,4207,131
5/20/2021,3070,102
5/21/2021,4007,88
5/22/2021,3084,74
5/23/2021,3047,57
5/24/2021,2253,92
5/25/2021,2724,65
5/26/2021,2726,75
5/27/2021,2482,67
5/28/2021,2455,73
5/29/2021,2697,56
5/30/2021,2117,43
5/31/2021,1771,71
6/1/2021,1843,80
6/2/2021,2028,92
6/3/2021,1893,83
6/4/2021,1923,84
6/5/2021,1629,76
6/6/2021,1490,58
6/7/2021,1383,53
6/8/2021,1118,77
6/9/2021,1303,76
6/10/2021,1303,47
6/11/2021,1194,57
6/12/2021,1239,56
6/13/2021,1019,34
6/14/2021,838,59
6/15/2021,1038,46
6/16/2021,1119,46
6/17/2021,1043,39
6/18/2021,991,27
6/19/2021,0,0
6/20/2021,1957,67
6/21/2021,663,27
6/22/2021,930,39
6/23/2021,1097,35
6/24/2021,1042,44
6/25/2021,935,36
6/26/2021,901,23
6/27/2021,914,20
6/28/2021,735,23
6/29/2021,979,27
6/30/2021,1037,40
7/1/2021,1277,24
7/2/2021,1400,34
7/3/2021,1228,29
7/4/2021,1347,19
7/5/2021,830,25
7/6/2021,1517,17
7/7/2021,1626,24
7/8/2021,1843,27
7/9/2021,1828,35
7/10/2021,1980,27
7/11/2021,1808,15
7/12/2021,1775,21
7/13/2021,1980,24
7/14/2021,2545,47
7/15/2021,2327,31
7/16/2021,2949,40
7/17/2021,2607,21
7/18/2021,2452,30
7/19/2021,2145,37
7/20/2021,2579,40
7/21/2021,2158,40
7/22/2021,1425,11
7/23/2021,0,0
7/24/2021,4660,77
7/25/2021,3752,32
7/26/2021,3262,39
7/27/2021,4119,46
7/28/2021,4497,76
7/29/2021,4537,86
7/30/2021,4950,65
7/31/2021,5026,62
8/1/2021,4858,40
8/2/2021,3582,67
8/3/2021,4722,46
8/4/2021,5661,60
8/5/2021,4745,67
8/6/2021,4720,95
8/7/2021,4455,68
8/8/2021,4040,53
8/9/2021,3884,86
8/10/2021,4856,81
8/11/2021,4934,102
8/12/2021,4619,79
8/13/2021,4786,73
8/14/2021,3711,67
8/15/2021,3669,72
8/16/2021,3221,95
8/17/2021,3974,66
8/18/2021,4373,74
8/19/2021,3239,70
8/20/2021,3084,65
8/21/2021,3842,75
8/22/2021,3772,80
8/23/2021,4075,91
8/24/2021,4199,126
8/25/2021,4553,100
8/26/2021,3930,95
8/27/2021,4231,120
8/28/2021,3909,69
8/29/2021,3800,66
8/30/2021,3838,118
8/31/2021,3569,101
9/1/2021,4069,89
9/2/2021,3821,57
9/3/2021,0,0
9/4/2021,7727,140
9/5/2021,3613,57
9/6/2021,3316,98
9/7/2021,3902,83
9/8/2021,4062,84
9/9/2021,3689,83
9/10/2021,3480,82
9/11/2021,3153,58
9/12/2021,2988,67
9/13/2021,2574,78
9/14/2021,2727,73
9/15/2021,3012,66
9/16/2021,2928,68
9/17/2021,2512,63
9/18/2021,2580,71
9/19/2021,2167,40
9/20/2021,1897,81
9/21/2021,2333,47
9/22/2021,2357,58
9/23/2021,2233,50
9/24/2021,2060,42
9/25/2021,1780,42
9/26/2021,1757,31
9/27/2021,1400,41
9/28/2021,1560,52
9/29/2021,1742,39
9/30/2021,1411,56
10/1/2021,1664,46
10/2/2021,1656,35
10/3/2021,1490,27
10/4/2021,1308,54
10/5/2021,1212,39
10/6/2021,1453,46
10/7/2021,912,26
10/8/2021,955,29
10/9/2021,827,19
10/10/2021,944,28
10/11/2021,689,18
10/12/2021,1021,21
10/13/2021,1016,28
10/14/2021,1086,27
10/15/2021,893,24
10/16/2021,720,17
10/17/2021,663,11
10/18/2021,603,20
10/19/2021,554,12
10/20/2021,622,16
10/21/2021,567,16
10/22/2021,552,15
10/23/2021,591,18
10/24/2021,698,9
10/25/2021,572,6
10/26/2021,516,13
10/27/2021,705,9
10/28/2021,660,17
10/29/2021,658,8
