StartDate,Value (kWh)
1/6/2016 0:00,1.057
1/6/2016 1:00,1.171
1/6/2016 2:00,0.56
1/6/2016 3:00,0.828
1/6/2016 4:00,0.932
1/6/2016 5:00,0.333
1/6/2016 6:00,0.462
1/6/2016 7:00,0.493
1/6/2016 8:00,0.325
1/6/2016 9:00,0.294
1/6/2016 10:00,0.273
1/6/2016 11:00,0.723
1/6/2016 12:00,0.426
1/6/2016 13:00,0.421
1/6/2016 14:00,0.447
1/6/2016 15:00,0.496
1/6/2016 16:00,0.523
1/6/2016 17:00,3.647
1/6/2016 18:00,3.018
1/6/2016 19:00,3.326
1/6/2016 20:00,2.175
1/6/2016 21:00,2.973
1/6/2016 22:00,2.994
1/6/2016 23:00,1.794
2/6/2016 0:00,1.281
2/6/2016 1:00,1.169
2/6/2016 2:00,1.231
2/6/2016 3:00,0.909
2/6/2016 4:00,0.825
2/6/2016 5:00,0.55
2/6/2016 6:00,0.514
2/6/2016 7:00,0.536
2/6/2016 8:00,0.657
2/6/2016 9:00,0.655
2/6/2016 10:00,0.886
2/6/2016 11:00,0.894
2/6/2016 12:00,0.824
2/6/2016 13:00,0.55
2/6/2016 14:00,0.537
2/6/2016 15:00,0.799
2/6/2016 16:00,0.833
2/6/2016 17:00,3.408
2/6/2016 18:00,3.071
2/6/2016 19:00,1.642
2/6/2016 20:00,0.896
2/6/2016 21:00,2.71
2/6/2016 22:00,1.176
2/6/2016 23:00,2.236
3/6/2016 0:00,0.736
3/6/2016 1:00,1.102
3/6/2016 2:00,0.624
3/6/2016 3:00,0.595
3/6/2016 4:00,0.702
3/6/2016 5:00,0.308
3/6/2016 6:00,0.364
3/6/2016 7:00,0.534
3/6/2016 8:00,0.471
3/6/2016 9:00,0.356
3/6/2016 10:00,0.263
3/6/2016 11:00,0.314
3/6/2016 12:00,0.349
3/6/2016 13:00,0.517
3/6/2016 14:00,0.408
3/6/2016 15:00,0.417
3/6/2016 16:00,0.561
3/6/2016 17:00,2.164
3/6/2016 18:00,2.055
3/6/2016 19:00,1.863
3/6/2016 20:00,1.258
3/6/2016 21:00,1.381
3/6/2016 22:00,1.163
3/6/2016 23:00,0.742
4/6/2016 0:00,0.636
4/6/2016 1:00,0.955
4/6/2016 2:00,0.717
4/6/2016 3:00,0.671
4/6/2016 4:00,0.692
4/6/2016 5:00,0.313
4/6/2016 6:00,0.3
